Stadt,Cases,Einwohnerzahl
Augsburg,173,301.033
Berlin,2681,3.755.251
Bielefeld,45,338.332
Bochum,34,365.742
Bonn,84,336.465
Bottrop,17,118.113
Braunschweig,26,251.804
Bremen,102,569.396
Bremerhaven,15,115.468
Chemnitz,40,248.563
Düsseldorf,196,629.047
Darmstadt,30,162.243
Dortmund,151,593.317
Dresden,215,563.311
Duisburg,1024,502.211
Erfurt,136,214.969
Erlangen,10,116.562
Essen,268,584.580
Fürth,56,131.433
FrankfurtamMain,228,773.068
Freiburgi.Breisgau,114,236.140
Göttingen,145,118.946
Gütersloh,36,102.393
Gelsenkirchen,68,263.000
Hagen,80,189.783
Halle,128,242.083
Hamburg,560,1.892.122
Hamm,58,180.849
Hannover,129,545.045
Heidelberg,30,162.273
Heilbronn,13,128.334
Herne,14,157.368
Hildesheim,68,101.858
Ingolstadt,7,141.029
Jena,24,111.191
Köln,866,1.084.831
Kaiserslautern,14,101.228
Karlsruhe,53,308.707
Kassel,30,204.202
Kiel,55,247.717
Koblenz,37,115.268
Krefeld,93,228.426
Lübeck,36,218.095
Leipzig,163,616.093
Leverkusen,62,165.748
Ludwigshafen,14,174.265
Mönchengladbach,194,268.465
Mülheima.d.Ruhr,102,172.404
München,1058,1.512.491
Münster,25,320.946
Magdeburg,8,239.364
Mainz,13,220.552
Mannheim,39,315.554
Nürnberg,134,523.026
Oberhausen,82,154.139
Offenbach,111,210.824
Oldenburg,25,134.170
Osnabrück,11,172.830
Paderborn,63,167.366
Pforzheim,20,154.755
Potsdam,49,127.849
Recklinghausen,44,185.750
Regensburg,12,111.734
Remscheid,18,157.443
Reutlingen,24,112.613
Rhein-KreisNeuss,105,117.547
Rostock,5,209.920
Saarbrücken,52,181.959
Salzgitter,4,104.548
Solingen,19,160.643
Stuttgart,256,632.865
Trier,26,112.195
Ulm,13,128.928
Würzburg,59,127.810
Wiesbaden,48,283.083
Wolfsburg,7,125.961
Wuppertal,83,358.876
